fpc,description,it_ean,sw_ean,cs_ean,pt_ean,cpg,category,brand,optima_lineup,family3,phase_in_date,phase_out_date,predecessor,successor
81616899,PA ABD M6 S3 3x68 VPP (PL) {CS} [81616899] (4015400774358),4015400774358,0,0,0,r,DPR,BSOD,BSOD Value Pack Plus,BSOD Value Pack Plus,2018.01.01,2019.12.31,,
81616903,PA ABD M6 S3 2x90 GP (PL) {CS} [81616903] (4015400736196),4015400736196,0,0,0,r,DPR,BSOD,BSOD Giant Pack,BSOD Giant Pack,2018.01.01,2019.12.31,,
81616904,PA ABD M6 S4 2x76 GP (PL) {CS} [81616904] (4015400736240),4015400736240,0,0,0,r,DPR,BSOD,BSOD Giant Pack,BSOD Giant Pack,2018.01.01,2019.12.31,,
81528076,PA NBD M5P S2 4x68 SRP CEE {CS} [81528076] (4015400737377),4015400737377,0,0,0,r,DPR,BSOD,BSOD Online Discounter VP SRP,BSOD Online Discounter VP SRP,2018.01.01,2019.12.31,,
81528077,PA ABD M5P S3 4x58 SRP CEE {CS} [81528077] (4015400737414),4015400737414,0,0,0,r,DPR,BSOD,BSOD Online Discounter VP SRP,BSOD Online Discounter VP SRP,2018.01.01,2019.12.31,,
81528078,PA ABD M5P S4 4x49 SRP CEE {CS} [81528078] (4015400737452),4015400737452,0,0,0,r,DPR,BSOD,BSOD Online Discounter VP SRP,BSOD Online Discounter VP SRP,2018.01.01,2019.12.31,,
81528079,PA ABD M5P S5 4x42 SRP CEE {CS} [81528079] (4015400737490),4015400737490,0,0,0,r,DPR,BSOD,BSOD Value Pack SRP,BSOD Value Pack SRP,2018.01.01,2019.12.31,,
81568905,PA ABD M6 S3 4x58 SRP CEE {CS} [81568905] (4015400737414),4015400737414,0,0,0,r,DPR,BSOD,BSOD Online Discounter VP SRP,BSOD Online Discounter VP SRP,2018.01.01,2019.12.31,,
81568906,PA ABD M6 S4 4x49 SRP CEE {CS} [81568906] (4015400737452),4015400737452,0,0,0,r,DPR,BSOD,BSOD Online Discounter VP SRP,BSOD Online Discounter VP SRP,2018.01.01,2019.12.31,,
81568911,PA ABD M6 S3 4x58 SRP CEE GYO {CS} [81568911] (4015400737414),4015400737414,0,0,0,r,DPR,BSOD,BSOD Online Discounter VP SRP,BSOD Online Discounter VP SRP,2018.01.01,2019.12.31,,
81568912,PA ABD M6 S4 4x49 SRP CEE GYO {CS} [81568912] (4015400737452),4015400737452,0,0,0,r,DPR,BSOD,BSOD Online Discounter VP SRP,BSOD Online Discounter VP SRP,2018.01.01,2019.12.31,,
81568923,PA ABD M6 S5 4x42 SRP CEE {CS} [81568923] (4015400948810),4015400948810,0,0,0,r,DPR,BSOD,BSOD Online Discounter VP SRP,BSOD Online Discounter VP SRP,2018.01.01,2019.12.31,,
81568926,PA ABD M6 S5 4x42 SRP CEE GYO {CS} [81568926] (4015400948810),4015400948810,0,0,0,r,DPR,BSOD,BSOD Online Discounter VP SRP,BSOD Online Discounter VP SRP,2018.01.01,2019.12.31,,
81499852,PA NBD M5P S1 4x43 VP CEE {CS} [81499852] (4015400444053),4015400444053,0,0,0,r,DPR,BSOD,BSOD Value Pack,BSOD Value Pack,2018.01.01,2019.12.31,,
81527638,PA NBD M5P S2 2x68 VP CEE DCT {CS} [81527638] (4015400735540),4015400735540,0,0,0,r,DPR,BSOD,BSOD Value Pack,BSOD Value Pack,2018.01.01,2019.12.31,,
81527640,PA ABD M5P S3 2x58 VP CEE DCT {CS} [81527640] (4015400735595),4015400735595,0,0,0,r,DPR,BSOD,BSOD Value Pack,BSOD Value Pack,2018.01.01,2019.12.31,,
81527641,PA ABD M5P S4 2x49 VP CEE DCT {CS} [81527641] (4015400735649),4015400735649,0,0,0,r,DPR,BSOD,BSOD Value Pack,BSOD Value Pack,2018.01.01,2019.12.31,,
81527642,PA ABD M5P S4P 3x45 VP CEE DCT {CS} [81527642] (4015400735694),4015400735694,0,0,0,r,DPR,BSOD,BSOD Value Pack,BSOD Value Pack,2018.01.01,2019.12.31,,
81527643,PA ABD M5P S5 2x42 VP CEE DCT {CS} [81527643] (4015400735748),4015400735748,0,0,0,r,DPR,BSOD,BSOD Value Pack,BSOD Value Pack,2018.01.01,2019.12.31,,
